Artista,Nome_Instagram,Followers,Following,Posts
"21 Savage",21savage,13150921,519,1289
Adele,adele,48929248,1,409
"Anuel AA",anuel_aa_0fficial,603172,11,900
"Ariana Grande",arianagrande,292291756,951,4930
"Ava Max",avamax,2604392,854,624
Avicii,avicii,6906949,146,1294
"Bad Bunny",badbunnypr,37001947,0,0
"Bebe Rexha",beberexha,10756624,1625,1253
Beyoncé,beyonce,234937687,0,2013
"Billie Eilish",billieeilish,99591669,0,598
"Black Eyed Peas",blackeyedpeas,914062,175,1340
"Britney Spears",britneyspears,39261706,46,2826
"Bruno Mars",brunomars,24535328,47,569
BTS,bts.bighitofficial,59139285,10,963
"Calum Scott",calumscott,832809,670,1432
"Calvin Harris",calvinharris,9787824,1221,66
"Camila Cabello",camila_cabello,59890251,1067,2702
"Cardi B",iamcardib,121993980,3301,1541
"Charlie Puth",charlieputh,15538425,110,3
"Chris Brown",chrisbrownofficial,103337392,1,7342
Coldplay,coldplay,14739014,55,2178
DaBaby,dababy,20199332,160,35
"Daddy Yankee",daddyyankee,44061248,132,0
"David Guetta",davidguetta,8949365,736,1594
"Demi Lovato",ddlovato,125259882,806,5
"DJ Snake",djsnake,9062736,767,2822
Drake,drake,746545,9,434
"Dua Lipa",dualipa,78119863,876,1013
"Ed Sheeran",teddysphotos,36853729,2,2210
"Ellie Goulding",elliegoulding,14081327,1046,652
"Elton John",eltonjohn,3906076,237,1447
Eminem,eminem,33660382,0,613
Farruko,farruko,19753262,1825,328
Future,future,18623119,0,0
Gunna,gunna,4044689,295,75
Halsey,iamhalsey,28128501,568,546
"Harry Styles",harrystyles,42804067,355,553
"Imagine Dragons",imaginedragons,5160636,820,1668
"J Balvin",jbalvin,51156257,1926,12937
"J. Cole",thejcolebible,605762,1973,4447
"James Arthur",jamesarthur23,2113399,7484,1092
"Jason Derulo",jasonderulo,8623447,4,590
JAY-Z,jayzz_official,164746,147,219
"Jhay Cortez",jhayco.esp,345,73,39
"John Legend",johnlegend,14257470,984,2344
"Juice WRLD",juicewrld999,12156314,354,170
"Justin Bieber",justinbieber,218243507,679,6884
"Kanye West",kanyewest,10274890,7178,11
"KAROL G",karolg,46144583,594,3273
"Katy Perry",katyperry,150452433,709,1908
"Kendrick Lamar",kendricklamar,9750501,49,1
Khalid,thegr8khalid,7393771,1653,126
"Kid Cudi",kidcudi,3120346,2,227
Kygo,kygomusic,4370959,247,256
"Lady Gaga",ladygaga,51391198,80,3482
"Lil Baby",lilbaby,18025835,896,42
"Lil Nas X",lilnasx,12340568,927,252
"Lil Wayne",liltunechi,14697253,2,847
Maluma,maluma,60640073,236,8038
"Mariah Carey",mariahcarey,10623219,300,2583
"Maroon 5",maroon5,8136683,19,1359
Marshmello,marshmellomusic,29316435,549,74
"Megan Thee Stallion",theestallion,27440256,870,756
"Michael Jackson",michaeljackson,6701968,0,811
"Miley Cyrus",mileycyrus,159562426,883,1133
"Myke Towers",myketowers,9333522,1086,2736
"Nicki Minaj",nickiminaj,172091069,596,6229
"Olivia Rodrigo",oliviarodrigo,21397964,0,144
"One Direction",onedirection,23008275,54,733
OneRepublic,onerepublic,2155331,24,1478
Ozuna,ozuna,22030949,0,4
P!nk,pink,8741185,597,1610
Pitbull,pitbull,8974485,342,2221
"Polo G",polo.capalot,9839315,550,93
"Pop Smoke",popsmokedaily,203607,37,110
"Post Malone",postmalone,22468331,1069,1018
Queen,officialqueenmusic,4880868,85,1304
"Rauw Alejandro",rauwalejandro,12466373,335,91
Rihanna,rihannaofficlal,287271,2,229
"Sam Smith",samsmith,14692701,1626,6
"Sean Paul",duttypaul,1442131,7493,2933
"Sebastian Yatra",sebastianyatra,28730859,1137,920
Sech,sechmusic,6577248,281,4
"Selena Gomez",selenagomez,292745148,216,1785
Shakira,shakira,71488624,137,1887
"Shawn Mendes",shawnmendes,66338211,1411,2465
Sia,siamusic,6714367,2,839
SZA,sza,11432712,744,252
"Taylor Swift",taylorswift,197258534,0,531
"The Beatles",thebeatles,3964203,23,1191
"The Chainsmokers",thechainsmokers,6708092,1448,9
"The Kid LAROI",thekidlaroi,3920925,0,4
"The Weeknd",theweeknd,36452861,5,560
Tiësto,tiesto,6536818,999,118
"Travis Scott",travisscott,44517142,79,3142
"Ty Dolla $ign",tydollasign,5901972,0,21
Tyga,tyga,30462512,1775,23
"Wiz Khalifa",wiz_khalifa_stoned,257526,127,5354
XXXTENTACION,xxxtentacion,19812141,4,2
"Young Thug",youngthugaspaintings,175980,21,80
